date,open,high,low,close,volume
2018-01-09,4431.95,4477.95,4385.3,4428.5,137291
2018-01-10,4426.85,4427.6,4376.6,4400.5,108533
2018-01-11,4420.0,4435.0,4381.6,4408.0,111380
2018-01-12,4417.9,4435.2,4351.6,4415.3,77272
2018-01-15,4420.65,4565.3,4403.45,4521.0,317710
2018-01-16,4528.0,4591.0,4511.0,4545.0,315483
2018-01-17,4540.0,4599.9,4499.0,4555.0,325063
2018-01-18,4555.0,4557.75,4370.0,4409.0,625906
2018-01-19,4378.0,4382.4,4271.35,4303.0,307973
2018-01-22,4316.95,4340.0,4261.0,4332.0,179338
2018-01-23,4335.3,4407.05,4301.0,4353.3,250222
2018-01-24,4363.4,4368.0,4275.1,4279.65,243968
2018-01-25,4284.0,4389.9,4282.9,4360.0,279887
2018-01-29,4365.0,4412.9,4331.3,4376.0,263694
2018-01-30,4367.65,4384.55,4306.0,4357.15,201757
2018-01-31,4363.2,4404.0,4330.0,4376.15,188498
2018-02-01,4382.35,4425.0,4350.0,4390.0,268129
2018-02-02,4364.7,4367.3,4130.0,4138.0,239976
2018-02-05,4122.85,4179.8,4052.05,4144.0,177773
2018-02-06,3993.3,4113.8,3950.0,4095.1,298296
2018-02-07,4135.0,4167.85,4051.0,4080.0,262453
2018-02-08,4085.0,4181.9,4051.95,4164.75,188000
2018-02-09,4095.9,4167.9,4054.05,4165.0,180890
2018-02-12,4171.9,4219.95,4162.55,4203.75,218848
2018-02-14,4204.95,4206.55,4155.0,4161.05,152427
2018-02-15,4195.25,4229.1,4160.05,4205.0,122288
2018-02-16,4205.0,4259.9,4144.15,4155.2,113818
2018-02-19,4166.35,4215.0,4077.35,4085.55,131626
2018-02-20,4114.8,4184.9,4087.55,4165.0,123819
2018-02-21,4165.35,4172.0,4120.05,4137.0,170346
2018-02-22,4121.05,4121.05,4072.2,4095.0,195808
2018-02-23,4099.9,4134.25,4063.55,4113.0,136418
2018-02-26,4121.05,4149.0,4121.0,4142.0,129563
2018-02-27,4147.95,4185.15,4139.8,4166.05,179355
2018-02-28,4125.0,4193.95,4125.0,4150.85,159949
2018-03-01,4155.7,4180.0,4131.3,4153.35,198806
2018-03-05,4134.4,4134.4,4076.0,4095.0,124122
2018-03-06,4125.0,4174.65,4105.05,4149.8,235109
2018-03-07,4160.0,4170.5,4093.0,4110.0,187711
2018-03-08,4105.3,4133.6,4064.15,4112.95,153841
2018-03-09,4115.0,4134.35,4055.95,4055.95,135832
2018-03-12,4076.1,4185.85,4076.1,4170.0,102563
2018-03-13,4152.0,4209.1,4141.8,4176.4,138220
2018-03-14,4153.3,4244.0,4144.75,4237.0,237246
2018-03-15,4229.95,4229.95,4156.0,4171.8,188174
2018-03-16,4141.05,4166.8,4004.05,4040.5,524876
2018-03-19,4058.45,4065.5,3960.0,3972.05,193216
2018-03-20,3957.7,3998.9,3910.2,3946.05,154821
2018-03-21,3959.85,4054.0,3959.85,3980.0,205035
2018-03-22,3997.8,4011.0,3914.05,3925.2,180529
2018-03-23,3851.15,3898.95,3813.65,3872.35,248613
2018-03-26,3869.0,3970.0,3826.2,3951.7,156257
2018-03-27,3941.0,3990.05,3923.1,3980.0,106172
2018-03-28,3974.4,3974.4,3923.1,3954.0,464182
2018-04-02,4053.9,4053.9,3924.85,3968.65,303277
2018-04-03,3960.2,3991.4,3914.5,3934.45,240202
2018-04-04,3957.85,3974.95,3873.1,3890.0,176801
2018-04-05,3933.85,3979.85,3915.0,3966.0,124540
2018-04-06,3954.7,3989.15,3920.05,3947.0,213908
2018-04-09,3959.95,3974.95,3901.5,3920.0,107323
2018-04-10,3934.95,3947.85,3909.0,3926.9,115701
2018-04-11,3923.95,3936.95,3890.0,3910.1,139605
2018-04-12,3885.1,3900.0,3865.0,3865.75,217774
2018-04-13,3875.15,3904.95,3863.5,3872.35,304655
2018-04-16,3865.95,3924.05,3865.15,3923.8,180459
2018-04-17,3920.0,3945.0,3903.0,3918.95,103270
2018-04-18,3924.95,4008.4,3923.25,4007.0,159237
2018-04-19,4020.0,4163.5,4007.55,4091.35,449652
2018-04-20,4104.0,4134.5,4061.5,4092.1,192586
2018-04-23,4087.85,4162.65,4073.15,4150.0,111150
2018-04-24,4165.65,4171.8,4096.0,4135.0,378170
2018-04-25,4135.0,4161.9,4081.05,4117.7,481861
2018-04-26,4170.0,4170.0,4033.75,4077.5,508715
2018-04-27,4077.5,4122.85,4036.0,4048.05,127448
2018-04-30,4099.75,4127.95,4079.6,4102.1,177585
2018-05-02,4112.8,4119.95,3993.0,4034.0,217043
2018-05-03,4027.95,4027.95,3982.9,4011.9,146668
2018-05-04,3998.85,4034.25,3960.0,3998.7,212388
2018-05-07,4005.0,4050.0,3970.0,4033.45,133626
2018-05-08,4046.95,4076.75,4033.0,4061.1,202573
2018-05-09,4074.0,4074.0,3955.0,3966.0,230072
2018-05-10,3974.95,4016.8,3930.0,4003.0,262863
2018-05-11,4011.1,4085.0,3994.0,4079.0,96898
2018-05-14,4085.0,4154.75,4055.75,4104.75,346624
2018-05-15,4116.95,4139.5,4077.15,4100.2,211047
2018-05-16,4090.0,4090.0,3971.0,3980.0,218374
2018-05-17,3997.95,4019.8,3940.0,3949.9,241407
2018-05-18,3933.05,3941.05,3852.8,3853.95,381838
2018-05-21,3899.95,4017.0,3814.2,3865.0,513971
2018-05-22,3838.0,3881.05,3720.0,3751.05,973743
